Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ORF )	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (synonym )
Q06683	IRC3_YEAST	reviewed	Putative ATP-dependent helicase IRC3 (EC 3.6.4.-) (Increased recombination centers protein 3)	IRC3 YDR332W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	689		IRC3	YDR332W	
Q12442	IZH2_YEAST	reviewed	ADIPOR-like receptor IZH2 (Phosphate metabolism protein 36)	IZH2 PHO36 YOL002C UND327	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	317	UND327	IZH2	YOL002C	PHO36
Q03687	ANY1_YEAST	reviewed	Scramblase ANY1 (Antagonizes NEO1 phospholipid flippase protein 1) (CDC50 suppressor 1)	ANY1 CFS1 YMR010W YM8270.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	405	YM8270.13	ANY1	YMR010W	CFS1
P46989	ATG27_YEAST	reviewed	Autophagy-related protein 27 (Enhancer of VPS34 missorting protein 1)	ATG27 ETF1 YJL178C J0490	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	271	J0490	ATG27	YJL178C	ETF1
P02994	EF1A_YEAST	reviewed	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458	P9513.7; YBR0913	TEF1; TEF2	YPR080W; YBR118W	; 
P40023	EDC2_YEAST	reviewed	Enhancer of mRNA-decapping protein 2	EDC2 YER035W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	145		EDC2	YER035W	
P38737	ECM29_YEAST	reviewed	Proteasome component ECM29 (Extracellular mutant protein 29)	ECM29 YHL030W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1868		ECM29	YHL030W	
P40540	EMC5_YEAST	reviewed	ER membrane protein complex subunit 5 (Killer toxin-resistance protein 27)	EMC5 KRE27 YIL027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	141		EMC5	YIL027C	KRE27
Q02884	ELP4_YEAST	reviewed	Elongator complex protein 4 (Gamma-toxin target 7) (HAT-associated protein 1)	ELP4 HAP1 TOT7 YPL101W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	456		ELP4	YPL101W	HAP1 TOT7
Q05775	EIF3J_YEAST	reviewed	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 30 kDa subunit) (eIF-3 30 kDa)	HCR1 YLR192C L8167.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	265	L8167.11	HCR1	YLR192C	
P38137	FAT2_YEAST	reviewed	Peroxisomal-coenzyme A synthetase (EC 6.-.-.-)	PCS60 FAT2 YBR222C YBR1512	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	543	YBR1512	PCS60	YBR222C	FAT2
Q04461	EUC1_YEAST	reviewed	Transcription factor-like protein EUC1 (Enriches ubiquitin on chromatin protein 1)	EUC1 YMR111C YM9718.10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	462	YM9718.10C	EUC1	YMR111C	
P0CX11	ERR2_YEAST	reviewed	Enolase-related protein 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	ERR2 YPL281C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437		ERR2	YPL281C	
P19658	EXO70_YEAST	reviewed	Exocyst complex component EXO70 (Exocyst complex protein of 70 kDa)	EXO70 YJL085W J0932	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	623	J0932	EXO70	YJL085W	
P40098	FMP10_YEAST	reviewed	Uncharacterized mitochondrial membrane protein FMP10	FMP10 YER182W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244		FMP10	YER182W	
P19145	GAP1_YEAST	reviewed	General amino-acid permease GAP1	GAP1 YKR039W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	602		GAP1	YKR039W	
P32805	FZF1_YEAST	reviewed	Zinc finger protein FZF1 (Sulfite resistance protein 1)	FZF1 SUL1 YGL254W NCR299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	299	NCR299	FZF1	YGL254W	SUL1
P53913	FYV6_YEAST	reviewed	Protein FYV6 (Function required for yeast viability protein 6)	FYV6 YNL133C N1215 N1850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	173	N1215 N1850	FYV6	YNL133C	
P40088	FTR1_YEAST	reviewed	Plasma membrane iron permease	FTR1 YER145C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	404		FTR1	YER145C	
P11412	G6PD_YEAST	reviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	ZWF1 MET19 YNL241C N1110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	505	N1110	ZWF1	YNL241C	MET19
P41911	GPD2_YEAST	reviewed	Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial (EC 1.1.1.8)	GPD2 GPD3 YOL059W O1222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	O1222	GPD2	YOL059W	GPD3
P12683	HMDH1_YEAST	reviewed	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34)	HMG1 YML075C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1054		HMG1	YML075C	
P50095	IMDH3_YEAST	reviewed	Inosine-5'-monophosphate dehydrogenase 3 (IMP dehydrogenase 3) (IMPD 3) (IMPDH 3) (EC 1.1.1.205)	IMD3 YLR432W L9753.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523	L9753.4	IMD3	YLR432W	
P21954	IDHP_YEAST	reviewed	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDP1 YDL066W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	428		IDP1	YDL066W	
P34167	IF4B_YEAST	reviewed	Eukaryotic translation initiation factor 4B (eIF-4B)	TIF3 STM1 TIF42 YPR163C P9325.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	436	P9325.6	TIF3	YPR163C	STM1 TIF42
P25586	KRR1_YEAST	reviewed	KRR1 small subunit processome component (KRR-R motif-containing protein 1) (Ribosomal RNA assembly protein KRR1)	KRR1 YCL059C YCL59C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	316	YCL59C	KRR1	YCL059C	
P28743	KIP2_YEAST	reviewed	Kinesin-like protein KIP2	KIP2 YPL155C P2581	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	706	P2581	KIP2	YPL155C	
Q03798	AIM36_YEAST	reviewed	Altered inheritance of mitochondria protein 36, mitochondrial (Found in mitochondrial proteome protein 39)	AIM36 FMP39 YMR157C YM8520.06C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	255	YM8520.06C	AIM36	YMR157C	FMP39
Q08957	AFT2_YEAST	reviewed	Iron-regulated transcriptional activator AFT2 (Activator of iron transcription protein 2)	AFT2 YPL202C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	416		AFT2	YPL202C	
Q04052	ARO80_YEAST	reviewed	Transcriptional activator ARO80	ARO80 YDR421W D9461.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	950	D9461.10	ARO80	YDR421W	
Q06551	ERFB_YEAST	reviewed	Palmitoyltransferase ERF2 (EC 2.3.1.225) (DHHC cysteine-rich domain-containing protein ERF2) (Ras protein acyltransferase)	ERF2 YLR246W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	359		ERF2	YLR246W	
Q06205	FKBP4_YEAST	reviewed	FK506-binding protein 4 (EC 5.2.1.8) (Histone proline isomerase) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)	FPR4 YLR449W L9324.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	392	L9324.3	FPR4	YLR449W	
P38993	FET3_YEAST	reviewed	Iron transport multicopper oxidase FET3 (EC 1.-.-.-)	FET3 YMR058W YM9796.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	636	YM9796.11	FET3	YMR058W	
Q08906	FIT2_YEAST	reviewed	Facilitator of iron transport 2	FIT2 YOR382W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153		FIT2	YOR382W	
Q04739	GAL83_YEAST	reviewed	SNF1 protein kinase subunit beta-3 (Glucose repression protein GAL83) (Protein SPM1)	GAL83 SPM1 YER027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	417		GAL83	YER027C	SPM1
P39012	GAA1_YEAST	reviewed	GPI transamidase component GAA1	GAA1 END2 YLR088W L9449.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	614	L9449.4	GAA1	YLR088W	END2
P40492	FYV10_YEAST	reviewed	Protein FYV10 (EC 2.3.2.27) (Function required for yeast viability protein 10) (Glucose-induced degradation protein 9) (Probable E3 ubiquitin-protein ligase GID9)	FYV10 GID9 YIL097W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	516		FYV10	YIL097W	GID9
P38143	GPX2_YEAST	reviewed	Glutathione peroxidase-like peroxiredoxin 2 (EC 1.11.1.24) (Glutathione peroxidase homolog 2) (GPx 2)	GPX2 YBR244W YBR1632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	162	YBR1632	GPX2	YBR244W	
Q03835	GLRX3_YEAST	reviewed	Monothiol glutaredoxin-3	GRX3 YDR098C YD8557.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250	YD8557.05C	GRX3	YDR098C	
P08539	GPA1_YEAST	reviewed	Guanine nucleotide-binding protein alpha-1 subunit (GP1-alpha)	GPA1 CDC70 DAC1 SCG1 YHR005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	472		GPA1	YHR005C	CDC70 DAC1 SCG1
Q05584	GLO2_YEAST	reviewed	Hydroxyacylglutathione hydrolase, cytoplasmic isozyme (EC 3.1.2.6) (Glyoxalase II) (Glx II)	GLO2 YDR272W D9954.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	274	D9954.5	GLO2	YDR272W	
Q12680	GLT1_YEAST	reviewed	Glutamate synthase [NADH] (EC 1.4.1.14) (NADH-GOGAT)	GLT1 YDL171C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2145		GLT1	YDL171C	
P16622	HEMH_YEAST	reviewed	Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	HEM15 YOR176W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393		HEM15	YOR176W	
P53685	HST1_YEAST	reviewed	NAD-dependent protein deacetylase HST1 (EC 2.3.1.286) (Homologous to SIR2 protein 1) (Regulatory protein SIR2 homolog 1)	HST1 YOL068C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	503		HST1	YOL068C	
P47124	HOC1_YEAST	reviewed	Putative glycosyltransferase HOC1 (EC 2.4.-.-) (M-Pol II subunit Hoc1p) (Mannan polymerase II complex HOC1 subunit)	HOC1 YJR075W J1830	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	396	J1830	HOC1	YJR075W	
P10591	HSP71_YEAST	reviewed	Heat shock protein SSA1 (Heat shock protein YG100)	SSA1 YAL005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642		SSA1	YAL005C	
Q05787	HRD3_YEAST	reviewed	ERAD-associated E3 ubiquitin-protein ligase component HRD3 (HMG-CoA reductase degradation protein 3)	HRD3 YLR207W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	833		HRD3	YLR207W	
P25619	HSP30_YEAST	reviewed	30 kDa heat shock protein	HSP30 YCR021C YCR21C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	YCR21C	HSP30	YCR021C	
P0CS90	HSP77_YEAST	reviewed	Heat shock protein SSC1, mitochondrial (Endonuclease SceI 75 kDa subunit) (Endo.SceI 75 kDa subunit) (mtHSP70)	SSC1 ENS1 YJR045C J1639	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	654	J1639	SSC1	YJR045C	ENS1
P43579	IES1_YEAST	reviewed	Ino eighty subunit 1	IES1 YFL013C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	692		IES1	YFL013C	
Q9P305	IGO2_YEAST	reviewed	mRNA stability protein IGO2 (Initiation of G zero protein 2)	IGO2 YHR132W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	131		IGO2	YHR132W-A	
P40051	ICP55_YEAST	reviewed	Intermediate cleaving peptidase 55 (EC 3.4.11.26) (Intermediate cleaving peptidase of 55 kDa)	ICP55 YER078C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511		ICP55	YER078C	
P32361	IRE1_YEAST	reviewed	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	IRE1 ERN1 YHR079C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1115		IRE1	YHR079C	ERN1
P47046	IRC8_YEAST	reviewed	Uncharacterized protein IRC8 (Increased recombination centers protein 8)	IRC8 YJL051W J1156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	822	J1156	IRC8	YJL051W	
P26364	KAD3_YEAST	reviewed	GTP:AMP phosphotransferase, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3)	ADK2 AKY3 PAK3 YER170W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	225		ADK2	YER170W	AKY3 PAK3
P40358	JEM1_YEAST	reviewed	DnaJ-like chaperone JEM1 (DnaJ-like protein of the ER membrane 1)	JEM1 KAR8 YJL073W HRC558 J1083	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	645	HRC558 J1083	JEM1	YJL073W	KAR8
P39520	IFH1_YEAST	reviewed	Protein IFH1 (Ribosomal RNA-processing protein 3)	IFH1 RRP3 YLR223C L8083.9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1085	L8083.9	IFH1	YLR223C	RRP3
P47135	JSN1_YEAST	reviewed	Protein JSN1 (Pumilio homology domain family member 1)	JSN1 PUF1 YJR091C J1890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1091	J1890	JSN1	YJR091C	PUF1
P13711	ACOX_YEAST	reviewed	Acyl-coenzyme A oxidase (Acyl-CoA oxidase) (EC 1.3.3.6)	POX1 FOX1 YGL205W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	748		POX1	YGL205W	FOX1
P00331	ADH2_YEAST	reviewed	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (YADH-2)	ADH2 ADR2 YMR303C YM9952.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348	YM9952.05C	ADH2	YMR303C	ADR2
P38832	ANS1_YEAST	reviewed	Probable GPI-anchored protein ANS1	ANS1 YHR126C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	159		ANS1	YHR126C	
P09457	ATPO_YEAST	reviewed	ATP synthase subunit 5, mitochondrial (ATP synthase chain 5) (Oligomycin sensitivity conferral protein) (OSCP)	ATP5 OSCP YDR298C D9740.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	212	D9740.11	ATP5	YDR298C	OSCP
Q12048	ATG41_YEAST	reviewed	Autophagy-related protein 41 (Interacting with cytoskeleton protein 2)	ATG41 ICY2 YPL250C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136		ATG41	YPL250C	ICY2
P53388	DIP5_YEAST	reviewed	Dicarboxylic amino acid permease	DIP5 YPL265W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	608		DIP5	YPL265W	
Q3E840	DPH3_YEAST	reviewed	Diphthamide biosynthesis protein 3 (Kluyveromyces lactis toxin-insensitive protein 11)	KTI11 DPH3 YBL071W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	82		KTI11	YBL071W-A	DPH3
P29547	EF1G1_YEAST	reviewed	Elongation factor 1-gamma 1 (EF-1-gamma 1) (Calcium and membrane-binding protein 1) (Calcium phospholipid-binding protein) (CPBP) (Eukaryotic elongation factor 1Bgamma 1) (eEF1Bgamma 1) (Translation elongation factor 1B gamma 1)	CAM1 TEF3 YPL048W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415		CAM1	YPL048W	TEF3
P40077	DSE1_YEAST	reviewed	Protein DSE1 (Daughter-specific expression protein 1)	DSE1 YER124C SYGP-ORF48	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	573	SYGP-ORF48	DSE1	YER124C	
P33413	DUR3_YEAST	reviewed	Urea active transporter	DUR3 YHL016C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	735		DUR3	YHL016C	
P38333	ENP1_YEAST	reviewed	Essential nuclear protein 1	ENP1 MEG1 YBR247C YBR1635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	483	YBR1635	ENP1	YBR247C	MEG1
P47160	ENT3_YEAST	reviewed	Epsin-3	ENT3 YJR125C J2048	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	408	J2048	ENT3	YJR125C	
P21268	FAR1_YEAST	reviewed	Cyclin-dependent kinase inhibitor FAR1 (CKI FAR1) (Factor arrest protein)	FAR1 YJL157C J0565	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	830	J0565	FAR1	YJL157C	
Q03096	EST3_YEAST	reviewed	Telomere replication protein EST3 (Ever shorter telomeres protein 3)	EST3 YIL009C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	181		EST3	YIL009C-A	
P38911	FKBP3_YEAST	reviewed	FK506-binding nuclear protein (EC 5.2.1.8) (FKBP-70) (Nucleolar proline isomerase) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Proline rotamase)	FPR3 NPI46 YML074C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	411		FPR3	YML074C	NPI46
P43557	FMP32_YEAST	reviewed	Protein FMP32, mitochondrial (Found in mitochondrial proteome protein 32)	FMP32 YFL046W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	207		FMP32	YFL046W	
P40099	FTHC_YEAST	reviewed	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2) (5,10-methenyl-tetrahydrofolate synthetase) (MTHFS) (Methenyl-THF synthetase)	FAU1 YER183C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	211		FAU1	YER183C	
Q03034	FDC1_YEAST	reviewed	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)	FDC1 YDR539W D3703.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	503	D3703.2	FDC1	YDR539W	
Q08271	GAS4_YEAST	reviewed	1,3-beta-glucanosyltransferase GAS4 (EC 2.4.1.-) (Glycolipid-anchored surface protein 4)	GAS4 YOL132W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	471		GAS4	YOL132W	
P50264	FMS1_YEAST	reviewed	Polyamine oxidase FMS1 (EC 1.5.3.17) (Fenpropimorph resistance multicopy suppressor 1)	FMS1 YMR020W YM9711.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	508	YM9711.09	FMS1	YMR020W	
Q04429	HLR1_YEAST	reviewed	Protein HLR1 (LRE1 homolog)	HLR1 YDR528W D9719.31	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423	D9719.31	HLR1	YDR528W	
P28817	HIBCH_YEAST	reviewed	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase) (HIB-CoA hydrolase) (HIBYL-CoA-H) (Mitochondrial small ribosomal subunit protein mS47)	EHD3 MRP5 YDR036C YD9673.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500	YD9673.08C	EHD3	YDR036C	MRP5
P32478	HS150_YEAST	reviewed	Cell wall mannoprotein HSP150 (150 kDa heat shock glycoprotein) (Covalently-linked cell wall protein 7) (Protein with internal repeats 2)	HSP150 CCW7 ORE1 PIR2 YJL159W J0558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	413	J0558	HSP150	YJL159W	CCW7 ORE1 PIR2
Q05905	HRI1_YEAST	reviewed	Protein HRI1 (HRR25-interacting protein 1)	HRI1 YLR301W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244		HRI1	YLR301W	
P34244	HSL1_YEAST	reviewed	Probable serine/threonine-protein kinase HSL1 (EC 2.7.11.1)	HSL1 YKL101W YKL453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1518	YKL453	HSL1	YKL101W	
P38697	IMDH2_YEAST	reviewed	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205)	IMD2 PUR5 YHR216W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523		IMD2	YHR216W	PUR5
P32481	IF2G_YEAST	reviewed	Eukaryotic translation initiation factor 2 subunit gamma (eIF-2-gamma) (EC 3.6.5.3)	GCD11 SUI4 TIF213 YER025W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	527		GCD11	YER025W	SUI4 TIF213
P15496	IDI1_YEAST	reviewed	Isopentenyl-diphosphate Delta-isomerase (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase) (IPP isomerase)	IDI1 BOT2 YPL117C LPH10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	288	LPH10C	IDI1	YPL117C	BOT2
P00817	IPYR_YEAST	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	IPP1 PPA PPA1 YBR011C YBR0202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287	YBR0202	IPP1	YBR011C	PPA PPA1
Q04413	API2_YEAST	reviewed	Uncharacterized protein API2	API2 YDR525W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109		API2	YDR525W	
Q12165	ATPD_YEAST	reviewed	ATP synthase subunit delta, mitochondrial (F-ATPase delta subunit)	ATP16 YDL004W D2935 YD8119.03	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	160	D2935 YD8119.03	ATP16	YDL004W	
P08004	CHS1_YEAST	reviewed	Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1)	CHS1 YNL192W N1404	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1131	N1404	CHS1	YNL192W	
P32582	CBS_YEAST	reviewed	Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase) (Sulfur transfer protein 4)	CYS4 STR4 YGR155W G6667	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	507	G6667	CYS4	YGR155W	STR4
Q03705	CG121_YEAST	reviewed	EKC/KEOPS complex subunit CGI121 (CGI-121 homolog)	CGI121 YML036W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	181		CGI121	YML036W	
P38147	CHK1_YEAST	reviewed	Serine/threonine-protein kinase CHK1 (EC 2.7.11.1) (Checkpoint kinase 1)	CHK1 YBR274W YBR1742	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	527	YBR1742	CHK1	YBR274W	
Q06702	CDA1_YEAST	reviewed	Chitin deacetylase 1 (EC 3.5.1.41)	CDA1 YLR307W L2142.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	301	L2142.2	CDA1	YLR307W	
P27636	CDC15_YEAST	reviewed	Cell division control protein 15 (EC 2.7.11.1)	CDC15 LYT1 YAR019C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	974		CDC15	YAR019C	LYT1
P43600	CSS2_YEAST	reviewed	Secreted protein CSS2 (Condition specific secretion protein 2)	CSS2 YFR020W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	232		CSS2	YFR020W	
Q12287	COX17_YEAST	reviewed	Cytochrome c oxidase copper chaperone	COX17 YLL009C L1343	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	69	L1343	COX17	YLL009C	
P89113	DDR2_YEAST	reviewed	Protein DDR2	DDR2 YOL052C-A YOL052BC YOL053C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	61	YOL052BC YOL053C-A	DDR2	YOL052C-A	
P37292	GLYM_YEAST	reviewed	Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	SHM1 SHMT1 YBR263W YBR1732	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	490	YBR1732	SHM1	YBR263W	SHMT1
P24814	GRR1_YEAST	reviewed	SCF E3 ubiquitin ligase complex F-box protein GRR1 (F-box and leucine-rich repeat protein GRR1) (F-box/LRR-repeat protein GRR1)	GRR1 CAT80 COT2 YJR090C J1885	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1151	J1885	GRR1	YJR090C	CAT80 COT2
P61830	H3_YEAST	reviewed	Histone H3	HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136	YBR0201; N2749	HHT1; HHT2	YBR010W; YNL031C	; SIN2
P28789	HEM3_YEAST	reviewed	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	HEM3 YDL205C D1057	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327	D1057	HEM3	YDL205C	
P46973	HIT1_YEAST	reviewed	Protein HIT1	HIT1 YJR055W J1705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	164	J1705	HIT1	YJR055W	
